restaurant_name,rating,address,cuisine,postal_code
East Ocean Teochew Restaurant,3.7,391 Orchard Road; #05-08/09 Ngee Ann City 238872,Chinese,238872
Thaipan Restaurant,3.9,13 Siglap Road; Mandarin Gardens 448911,Fusion,448911
Majestic Restaurant,3.8,31 Bukit Pasoh Road; 31-37 New Majestic Hotel 089845,Chinese,089845
Jiang-nan Chun,3.9,190 Orchard Boulevard; Four Seasons Hotel 248646,Chinese,248646
Xin Cuisine Chinese Restaurant,3.7,317 Outram Road; #04-00 Holiday Inn Singapore Atrium 169075,Chinese,169075
New Station Snack Bar,3.6,14 Scotts Road; #05-95 Far East Plaza 228213,Chinese,228213
Miki Snacks,3.9,865 Mountbatten Road; #b1-127/128 Katong Shopping Centre 437844,Chinese,437844
Luk Yu Teahouse,3.5,133 New Bridge Road; #01-41/42 Chinatown Point 059413,Chinese,059413
Shisen Hanten,3.9,333 Orchard Road; Level 35 Mandarin Orchard; Singapore 238867,Chinese,238867
Susan Chan Food,4,14 Scotts Road; #05-100 Far East Plaza 228213,Asian,228213
Hua Ting Restaurant,3.7,442 Orchard Road; Level 2 Hotel; Orchard 238879,Asian,238879
Wholly Crab,2.8,18 Marina Gardens Drive; Gardens By The Bay; Marina South 018953,Seafood,018953
Song Fa Bak Kut Teh,4.2,11 New Bridge Road; #01-01; 059383,Teochew,059383
Cantonese Delights,4,531A Upper Cross Street; #02-03 Food Centre 051531,Cantonese,051531
Golden Spoon Seafood,3.6,62 Seng Poh Lane; #01-11 160062,Seafood,160062
Crystal Jade Golden Palace,3.6,290 Orchard Road; #05-22 Paragon 238859,Asian,238859
Golden Peony,3.7,2 Temasek Boulevard; Conrad Centennial Hotel Level 3 038982,Chinese,038982
The Curry Wok,3.8,5 Coronation Road; #01-04 Coronation Arcade 269406,Chinese,269406
Ban Leong Wah Hoe Seafood,3.6,122/124 Casuarina Road 579510,Chinese,579510
Hai Di Lao Hot Pot,4.8,313 Orchard Road; #04-23/24 238895,Sichuan,238895
Ah Hock Fried Hokkien Noodles,3.9,20 Kensington Park Road; #01-27 Chomp Chomp Food Centre 557269,Chinese,557269
Lau Pa Sat,4.9,18 Raffles Quay; #01- Lau Pa Sat Festival Market 048582,Indonesian,048582
Cafe De Hong Kong,3.8,586 Balestier Road; #01-01 Eastpac Building 329898,Chinese,329898
Imperial Restaurant,3.5,382 Havelock Road; Level 2 View Hotel 169629,Dim Sum,169629
Outram Park Fried Kway Teow Mee,4,531A Upper Cross Street; #02-17 Food Centre 051531,Asian,051531
Orchard Yong Tau Fu,3.6,5 Koek Road; #01-09 Cuppage Plaza 228796,Hakka Chinese,228796
Wàn Hé Lóu,3.6,65 Maude Road; #01-01 208347,Chinese,208347
Beauty In The Pot,3.8,11 Tanjong Katong Road; #02-21 One Km 437157,Chinese,437157
Ghim Moh Chwee Kueh,3.8,20 Ghim Moh Road; #01-31 Market Food Centre 270020,Chinese,270020
Kam Boat Teochew Restaurant,4.1,1 Tanglin Road; #01-13 Parade Hotel; Orchard 247905,Chinese,247905
Lokkee,3.6,68 Orchard Road; #03-01 Plaza 238839,Chinese,238839
Peony Jade Restaurant,3.4,10 Bukit Chermin Road 109918,Chinese,109918
Chong Pang Nasi Lemak,3.6,447 Sembawang Road 758404,Chinese,758404
Shin Yeh,3.4,177 River Valley Road; #02-19 179030,Dim Sum,179030
Szechuan Court & Kitchen,3.5,80 Bras Basah Road; Level 3 Fairmont Singapore 189560,Chinese,189560
Sik Bao Sin Eating House,3.8,592 Geylang Road; Between Lorong 34 & 36 389531,Chinese,389531
Scissors Cut Curry Rice,3.8,229 Jalan Besar; Jalan Besar 208905,Hainanese,208905
Ah Pang Steamboat Seafood,4.3,159 Mei Chin Road; #02-21 Mei Ling Food Center 140159,Chinese,140159
Outram Park Ya Hua Rou Gu Cha,3.6,7 Keppel Road; #01-05/07 PSA Tanjong Pagar Complex 089053,Chinese,089053
Royal Pavilion,3.9,23 Merchant Road; Level 1 Park 058268,Chinese,058268
Sum Kee Food,3.7,2; Yeo'South building; Telok Blangah Street 31 108942,Chinese,108942
Moc Quan,4.2,81 Clemenceau Avenue; #01-23 Ue Square 239917,Vietnamese,239917
New Lucky Claypot Rice,3.9,44 Holland Drive; #02-19 Market & Food Centre 270044,Chinese,270044
Tien Court Restaurant,3.6,403 Havelock Road; Level 2 Copthorne King's Hotel 169632,Chinese,169632
Thai Boat Noodle,4.3,799 New Upper Changi Road; #02-32/34 467351,Thai,467351
Spice Peranakan,3.7,20 Biopolis Way; #01-01 Centros 138668,Peranakan,138668
Si Wei Mao Cai,4.1,33 Mosque Street; T 059511,Sichuan,059511
Alliance Kitchen,3.5,3501 Jalan Bukit Merah #01-04 Rubikon Building 159460,Western,159460
Mala Hot Pot,4.3,32 New Market Road; #01-1042 People's South Park 050032,Sichuan,050032
Katong Kitchen,4.2,25 Marine Parade Road; Level 4 Village Hotel Katong 449536,Asian,449536
Orchid Live Seafood,3.3,16 Jalan Kelulut; Serangoon 809033,Seafood,809033
Oki Machi,4.1,33 Sengkang West Avenue; #B1-K12 The Seletar Mall 797653,Taiwanese,797653
Xi Yan,3.8,38A Craig Road 089676,Fusion,089676
Sichuan Village Restaurant,4.1,17 Mosque Street 059497,Sichuan,059497
Mandarin Court,2.8,333 Orchard Road; Level 35 Mandarin Singapore; Orchard 238867,Asian,238867
Plum Village Restaurant,3.8,16 Jalan Leban 577554,Hakka Chinese,577554
Seletar Hill Restaurant,3.6,16 Jalan Selaseh; Seletar Hills Estate 808440,Sichuan,808440
Imperial Treasure Seafood Restaurant,3.6,50 Jurong Gateway Road; #B1-11 608549,Chinese,608549
Yaowarat Seafood,4,27 Teck Chye Terrace 545729,Seafood,545729
Chopsuey Cafe,3.5,10 Dempsey Road; #01-23 01 - 23 247700,Chinese,247700
The Scholar,3.7,9 Kent Ridge Drive 119241,Seafood,119241
Macpherson Minced Meat Noodles,4.5,1382 Serangoon Road; Opal Crescent 328254,Chinese,328254
Sum's Kitchen & Hong Kong Roasted Meat,3.8,3 Jalan Legundi; Garden Arcade 759266,Chinese,759266
Hong Kong Mong Kok Tim Sum,3.9,335 Smith Street; #02-097 Chinatown Complex Market 050335,Dim Sum,050335
Piao Ji Fish Porridge,2.9,7 Maxwell Road; #02-100/103 Amoy Street Food Centre 069111,Asian,069111
Mak's Place The Hawkerant,3.9,401 Changi Road 419847,Chinese,419847
Crystal Jade Prestige,3.4,8A Marina Boulevard; #02-01 Marina Bay Link Mall 018984,Chinese,018984
Zi Yean Restaurant,3.4,56 Lengkok Bahru; #01-443 150056,Chinese,150056
Cheng Heng Kway Chap & Braised Duck Rice,4.3,44 Holland Drive; #02-05 Food Centre 270044,Teochew,270044
Edge,4.3,7 Raffles Boulevard; Level 3 Pan Pacific Singapore 039595,Chinese,039595
Joo Siah Bak Koot Teh,3.9,349 Jurong East Avenue 1; #01-1215 Yuhua Place 600349,Chinese,600349
Flying Plate,3.9,470 North Bridge Road; #01-04 Bugis Cube 188735,BBQ,188735
Mara Shabu,4.2,200 Turf Club Road; #02-k16/1 Bella At The Grandstand 287994,Taiwanese,287994
Prosperity Kitchen,3.6,15 Mohamed Sultan Road 238964,Cantonese,238964
Lao Huang Hakka Niang Tou Fu,4,861 North Bridge Road; #01-108 Food Centre 198783,Hakka Chinese,198783
Lime,2.9,3 Upper Pickering Street 058289,Asian,058289
Happy World Delicacy,4.3,7 Empress Road; #01-107 Food Centre 260007,Chinese,260007
Scallop-q,4.1,311 New Upper Changi Road; #b2-k7 Bedok Mall 467360,Taiwanese,467360
Yun Seafood Fishhead,4.2,632 Ang Mo Kio Avenue 4; #01-948 560632,Chinese,560632
Hao Yun Lai,3.5,9 Bras Basah Road; #02-01 ; Rendezvous G 189559,Chinese,189559
Gim Tim Restaurant,3.4,157 Ang Mo Kio Avenue 4; #01-546 560157,Chinese,560157
Fat Bird,3.8,1 Liang Seah Street; #01-15/16 Liang Seah Place 189022,Chinese,189022
The Twenty Cavan,4.4,20 Cavan Road 209851,Asian,209851
Liu San,3.9,1 Jalan Anak Bukit; #01-09 Bukit Timah Shopping Centre 588996,Taiwanese,588996
Wee Nam Kee Hainanese Chicken Rice Restaurant,3.5,101 Thomson Road; #01-08 United Square 307591,Hainanese,307591
Sek Tong Gai,3.5,47 Tanglin Halt Road; #01-317 141047,Chinese,141047
Sky On 57,4.7,10 Bayfront Avenue; 57 Marina Bay Sands 018956,Chinese,018956
Good Year Seafood Village,3.7,15 Tampines Avenue 529788,Seafood,529788
Kok Sen Restaurant,2.9,30B Keong Saik Road 089137,Seafood,089137
Riverside Grilled Fish,4,252 North Bridge Road; #B1-06/07 Raffles City Shopping Centre 179103,Sichuan,179103
Lau Wang Claypot Delights,4.1,263 Serangoon Central Drive; #01-43 550263,Chinese,550263
Soon Kee Fried Hokkien Prawn Noodle,4.3,155 Bukit Batok Street 11; #01-322 Li Soon Eating House 650155,Chinese,650155
Manhill Restaurant,3.6,99 Pasir Panjang Road 118517,Chinese,118517
Dragon Phoenix Classic,3.4,177A River Valley Road; #06-00 Novotel Clarke Quay 179031,Chinese,179031
Ming Chung Restaurant,3.9,67 Maude Road 208348,Chinese,208348
Shanghai Ren Jia,3.5,151 Ang Mo Kio Avenue 5; #01-3046 560151,Dim Sum,560151
Jing,3.4,1 Fullerton Road; #01-02/03 One Fullerton 049213,Chinese,049213
City Hot Pot Shabu Shabu,3.6,1 Raffles Place; #04-28 048616,Chinese,048616
Straits Chinese Nonya Restaurant,3.7,34 Craig Road; #01-08 Chinatown Plaza 089673,Peranakan,089673
Hong Mao Mian Jia/ang Moh Noodle House,3.8,182 Joo Chiat Road 427453,Chinese,427453
Noodle Place,2.6,277 Orchard Road; #01-17 Gateway; Orchard,Cantonese,Orchard
Wok15 Kitchen,3.9,11 Cove Drive; #01-01 One 15 Marina Club; Sentosa 098497,Chinese,098497
Joyden Treasures,3.7,5 Stadium Walk; #02-42 Leisure Park; Kallang 397693,Seafood,397693
Zai Shun Curry Fish Head Seafood,4,253 Jurong East Street 24; #01-205 600253,Seafood,600253
Fan Ji Bittergourd Fish Soup,4.2,531A Upper Cross Street; #01-64 Hong Lim Market & Food Centre 051531,Asian,051531
Golden Treasure Restaurant,4.3,70 Lorong 25A Geylang,Chinese,Geylang
Baba Wins' Peranakan Cuisine,3.5,302 Tiong Bahru Road; #02-107/108 Tiong Bahru Plaza 168732,Peranakan,168732
Xi Yan Shaw,3.8,1 Scotts Road; #03-12/13 Shaw Centre 228208,Chinese,228208
New Market Teochew Braised Duck,4.1,120 Bukit Merah Lane 1; #01-84 Alexandra Village Food Centre 150120,Teochew,150120
The Famous Kitchen,3.4,54 Sembawang Road; #01-01 Hong Heng Mansion 779085,Seafood,779085
One Of Us Cuisine,4.3,271 Onan Road; #01-05 Dunman Food Centre 424768,Seafood,424768
Beef Kway Teow,4.2,166 Jalan Besar; #01-28 Berseh Food Centre 208877,Chinese,208877
Lee Do Restaurant,2.9,61 Ubi Avenue 2; #01-13 Automobile Megamart 408898,Chinese,408898
Lee Tong Kee,3.4,278 South Bridge Road 058827,Malaysian,058827
Soon Lee Fire-pot Stew Beef,4.2,120 Bukit Merah Lane 1; #01-16 Alexandra Village Food Centre 150120,Chinese,150120
Hainanese Chicken & Duck Rice,4.4,22 Lorong 7 Toa Payoh; #01-24 Kim Keat Palm Market Food Centre; Toa Payoh 310022,Hainanese,310022
Tanyoto,3.4,177 River Valley Road; #01-25 Liang Court 179030,Sichuan,179030
A&c Braised Duck Kway Chap,4.2,605 Yishun; #01-309; Yishun 760605,Chinese,760605
Joo Heng Restaurant,3.5,360 Joo Chiat Road 427605,Chinese,427605
Fai Kee Fishhead Bee Hoon,4.3,118 Commonwealth Crescent,Seafood,Crescent
Penang Seafood Restaurant,3.5,76 Lorong 25a Geylang; #05-42/45 388258,Peranakan,388258
Old Noodle Hut,4.1,347 Ang Mo Kio Avenue 3 560347,Chinese,560347
Roast Paradise,3.8,51 Old Airport Road; #01-122 Food Centre 390051,Chinese,390051
Yi Jia South Village Seafood Restaurant,3.8,552 Mac Pherson Road; 550-552; Geylang; Singapore 368229,Chinese,368229
Imperial Court,3.5,190 Ang Mo Kio Avenue 8; #03-01 The Grassroots' Club 568046,Dim Sum,568046
New Udon Thai Food,3.5,5001 Beach Road; #01-55 Golden Mile Complex 199588,Chinese,199588
Zhao Ji Clay Pot Rice,3.8,335 Smith Street; #02-53 Chinatown Complex Market 050335,Chinese,050335
Tak Po,3.4,42 Smith Street 058954,Chinese,058954
Indonesia Bbq,3.9,270 Queen Street; #01-65 Albert Centre Market & Food Centre 180270,Indonesian,180270
Jiu Jiang Shao La,3.5,20 Ghim Moh Road; #01- Ghim Moh Market Food Centre 270020,Cantonese,270020
Guan Hoe Soon Restaurant,3.6,38/40 Joo Chiat Place 427762,Chinese,427762
Kimly Live Seafood,3.6,18 Boon Lay Way 609966,Seafood,609966
Heap Seng Leong Coffee,3.9,10 North Bridge Road; #01-5109 190010,Chinese,190010
Hwa Nam Restaurant,2.9,244 Upper Thomson Road 574369,Asian,574369
Crabmeat Wonton Mee,3.9,560 Macpherson Road 368233,Malaysian,368233
Fei Fei Roasted Noodles,3.8,254 Jurong East Street 24; #01-28 Yuhua Village Market 600254,Cantonese,600254
Ah Yat Abalone,3.4,101 Victoria Street; #01-06 Hotel Grand Pacific 188018,Chinese,188018
Siu Fun Dong,3.5,51 Changi Business Park Central 2; #02-07 The Signature 486066,Chinese,486066
Crystal Jade Korean Ginseng Chicken & Bbq,3.4,391 Orchard Road; #B2-36A Ngee Ann City,Korean,City
132 Traditional Teochew Noodle,3.7,59 Marine Terrace; #01-105 440059,Chinese,440059
Beijing Gong Restaurant,3.7,41A Kreta Ayer Road 089003,Chinese,089003
Tian Fu Hong Kong Steamboat Restaurant,3.5,214 Tanjong Katong Road 437007,Cantonese,437007
Dim Dim - The Hong Kong Pantry,3.7,6 Raffles Boulevard; #B1-16 Marina Square 039594,Dim Sum,039594
Breakthrough Cafe,3.9,101A Upper Cross Street; #01-02 People's Park Centre 058357,Chinese,058357
Segar Village,3.9,19 Sims Way 388831,Thai,388831
Oriental Chinese Restaurant,4,195 New Bridge Road; Chinatown 059425,Sichuan,059425
Old Mother Hen Traditional Herbal Soup,3.7,136 Sims Avenue 387458,Chinese,387458
Grand Shanghai,3.4,390 Havelock Road; #01-01 King's Centre 169662,Chinese,169662
Dong Fang Hong Korean Chinese Restaurant,3.8,92/94 Telok Ayer Street; #01-01 Far East Square,Korean,Square
Lotus Vegetarian Restaurant,3.8,201 Balestier Road; Quality Hotel 329926,Chinese,329926
Master Tang Wanton Mee,3.6,10E Sixth Avenue; Kopitown 276474,Cantonese,276474
Liao Fan Hong Kong Soya Sauce Chicken Rice Noodles,3.5,78 Smith St; Singapore 058972,Chinese,058972
Geylang Lor 9 Beef Kway Teow,3.4,237 Geylang Lorong 388756,Chinese,388756
Ocean View Restaurant,3.7,1 Lorong 22 Geylang; #01-04 The Grandview Building 398664,Seafood,398664
Swee Kee Fish Head Noodle House,3.6,96 Amoy Street 069916,Seafood,069916
Tan Chin Lee Sea-Fresh Restaurant,3.7,71 Pioneer Road; #02-06 Tuas Amenity Centre 639591,Seafood,639591
Feng Bo Zhuang,3.7,57B Temple Street 058602,Chinese,058602
Lucky Poh Hong Kong Noodles,3.7,20 Ghim Moh Road; #01-09 Ghim Moh Market Food Centre 270020,Cantonese,270020
Blanco Court Sliced Fish Bee Hoon,3.6,341 Beach Road 199567,Seafood,199567
Vienna International Seafood & Teppanyaki Buffet...,2.8,101 Thomson Road; #B1-01 United Square 307591,Japanese,307591
Tim Palace,3.4,293 Lorong 6 Toa Payoh; #03-01 Safra Club; Toa Payoh 319387,Hokkien,319387
Si Wei Yan,3.9,1 Club Street 069400,Teppanyaki,069400
Fragrant Hong Kong Pork Rib Rice,3.7,531A Upper Cross Street; #02-69 Food Centre 051531,Cantonese,051531
Koi Cafe Express,3.7,2450 Ang Mo Kio Avenue 8; #01-05 Mrt Station; Ang Mo Kio 569811,Chinese,569811
New Rong Liang Ge Cantonese Roast Duck,3.7,269B Queen Street; #01-235 182269,Chinese,182269
Sheng Ji Hong Kong Roasted Meat Noodle,3.7,20 Ghim Moh Road; #01-26 Ghim Moh Market Food Centre 270020,Chinese,270020
Hakka Thunder Tea Rice,3.7,3A Commonwealth Drive; #01-31 Tanglin Halt Food Centre,Hakka Chinese,Centre
East Bistro,3.9,10 Jalan Tampang; Garden Arcade 758954,Dim Sum,758954
Tim Ho Wan,3.4,68 Orchard Road; #01-29A/52 Plaza Singapura 238839,Teppanyaki,238839
Original Chew Kee Eating House,3.6,8 Upper Cross Street 058327,Chinese,058327
Hup Chong Hakka Yong Dou Foo,3.8,124 Lorong 1 Toa Payoh; #01-459 310124,Hakka Chinese,310124
Central Hong Kong Cafe,3.5,1 Harbourfront Walk; #B2-13/14 Vivo City 098585,Chinese,098585
Paradise Inn,3.4,80 Airport Boulevard; #03-19 Airport Terminal 1 819642,Dim Sum,819642
Prima Tower Revolving Restaurant,3.4,201 Keppel Road 099419,Chinese,099419
Hong Kong Style Chee Cheong Fun,3.7,726 Clementi West Street 2; #01-153 Clementi West Market Food Centre 120726,Cantonese,120726
Delicious Fried Carrot Cake,3.6,85 Redhill Lane; #01-33 Redhill Food Centre 150085,Chinese,150085
Special Shanghai Tim Sum,3.8,1 Kadayanallur Street; #01-92 Maxwell Food Centre 069184,Dim Sum,069184
Ah Wok,3.8,3 Sentosa Gateway; #01-11/15 Street James Power Station 098544,Chinese,098544
Swa Garden Teochew Restaurant,3.5,540 Mac Pherson Road 368223,Chinese,368223
Shi Le Yuan,3.8,85 Redhill Lane; #01-41 Redhill Food Centre 150085,Chinese,150085
Chinese Feasts,2.9,3 Temasek Boulevard; B1-061 Suntec City Mall 038983,Sichuan,038983
Makansutra Gluttons Bay,4.4,803 Raffles Avenue; #01-15 Esplanade Mall 039802,Singaporean,039802
Paradise Dynasty,3.6,65 Airport Boulevard; #03-32 Changi Airport Terminal 3 819663,Chinese,819663
Mapo Doufu Restaurant,2.8,2 Sin Ming Road; #01-02 Sin Ming Plaza 575583,Sichuan,575583
The Buffet,3.5,81 Anson Road; Level 2 M Hotel 079908,Chinese,079908
Hillman Restaurant,3.6,135 Kitchener Road 208518,Chinese,208518
Eater Restaurant,3.9,964 Jurong West Street 91; #01-342 640964,Seafood,640964
Fu Xing Mei Shi,3.6,271 Onan Road; #02-22 Dunman Food Centre 424768,Chinese,424768
Cafe Nido,4.2,162 Tyrwhitt Road; Hotel Yan 207581,Chinese,207581
Peach Blossoms,3.8,6 Raffles Boulevard; Level 5 Marina Mandarin 039594,Singaporean,039594
Greenland Vegetarian Restaurant,3.6,791 Upper Serangoon Road; Dummy; Singapore 534661,Chinese,534661
Tiong Bahru Hwa Yuen Porridge,3.7,30 Seng Poh Road; #02-74 Tiong Bahru Market 168898,Chinese,168898
Leng Heng Bbq Seafood & Claypot Deluxe,3.6,1220 East Coast Parkway; Stall 5 East Coast Lagoon Food Village 468960,Chinese,468960
Bao Ma Curry Fish Head,3.8,505 Beach Road; #B1-01/07 Golden Mile Food Centre 199583,Chinese,199583
Ming Kee Live Seafood,3.5,556 Macpherson Road 368231,Seafood,368231
G7 Liang Kee Restaurant,3.7,737 Havelock Road 169653,Teochew,169653
You Huak Restaurant,3.8,22 Jalan Tampang 758966,Chinese,758966
Zheng Yi Hainanese Beef Noodle,3.7,47 Tai Thong Crescent; Kin Seng Coffeeshop 347867,Hainanese,347867
Yap Kee Wanton Noodles,3.9,Block 44 Holland Drive #02-04 270044,Chinese,270044
Empress Western Food Corner,4,7 Empress Road; #01-98 Market Food Centre 260007,Western,260007
Season Live Seafood,3.5,59E Pulau Ubin 508309,Chinese,508309
Jin De Lai Zhong Hua La Mian,3.6,56 Boat Quay; Boat Quay 049845,Chinese,049845
Freshly Made Chee Cheong Fun,3.9,51 Old Airport Road; #01-155 Centre 390051,Asian,390051
Joyden Seafood,3.4,12 West Coast Walk; #01-11 West Coast Recreation Centre 127157,Seafood,127157
Fmjc Delights,3.7,37 Jalan Rumah Tinggi; #01-431 150037,Peranakan,150037
Porn's Sexy Thai Food,3.7,809 French Road; 1-43/44/45 Kitchener Complex 200809,Thai,200809
Aroy Mak Mookata Thai Bbq Steamboat,3.8,476-478 MacPherson Road 368208,Chinese,368208
Havelock Turtle Soup,3.6,22 A/B Havelock Road; Cooked Food Centre,Thai,Centre
Teochew Restaurant Huat Kee,3.7,30 Orange Grove Road; #02-01 Relc Building 258352,Teochew,258352
Sin Bedok North Bbq Chicken Wing,3.7,85 Bedok North Street 4; #01-02 Fengshan Market Food Centre,Seafood,Centre
Tigerlily,3.6,7 Dempsey Road; #01-03 249671,Chinese,249671
Tong Chiang Claypot Restaurant,3.5,324 Lavender Street 338822,Hakka Chinese,338822
Lucy's Penang Delights,3.7,117 Aljunied Avenue 2; #01-05 Aljunied Market & Food Centre 380117,Peranakan,380117
No 5 Emerald Hill,3.6,5 Emerald Hill Road 229289,Western,229289
Xiao Ya Tou,4,6 Duxton Hill 089592,Chinese,089592
Long Jiang Chinos,3.8,81 Lorong Chencharu; #01-06/07 Orto Park 769198,Seafood,769198
Boombastic Penyet,3.7,503 West Coast Drive; 29 Ayer Rajah Food Centre 120503,Indonesian,120503
Dim Dim - The Hong Kong Pantry,2.7,6 Raffles Boulevard; #B1-16 Marina Square 039594,Chinese,039594
Shiok Western Food,3.6,3 Yung Sheng Road; #03-1 Taman Jurong Market Food Centre 618499,Western,618499
Teochew Kway Chap Rice Porridge,3.6,29 Bendemeer Road; #01-19 Bendemeer Market 330029,Teochew,330029
Wo Peng Cantonese Cuisine,2.8,93/95 Owen Road; Newton; Singapore 218905,Chinese,218905
Sin Chew Huat Hotplate Stingray,3.6,221 Boon Lay Place; #01-117 Food Village 642221,Seafood,642221
Pin Zhen Chinese Restaurant,3.6,47 Kallang Pudding Road; #01-08 349318,Chinese,349318
Lagoon Leng Kee Beef Kway Teow,3.6,1220 East Coast Parkway; #01-33 East Coast Lagoon Food Village 468960,Chinese,468960
Hup Hong Chicken Rice,3.8,254 Jurong East Street 24; #01-51 Yuhua Village Market & Food Centre 600254,Hainanese,600254
Feng Kee Hainanese Curry Rice,3.6,121 Pasir Panjang Road; #01-41 Pasir Panjang Food Centre 118543,Hainanese,118543
Asian Wok Restaurant,3.7,45B Boat Quay 049834,Indonesian,049834
Penang Kitchen,3.4,5 Coronation Road; #01-05 Coronation Arcade 269406,Indonesian,269406
Beng Thin Hoon Kee Restaurant,3.6,65 Chulia Street; #05-02 OCBC Centre 049513,Hokkien,049513
Wong Kok Char Chan Teng,2.7,200 Victoria Street; #02-50 Bugis Junction 188021,Cantonese,188021
Ah Lam's Abalone Soup,3.6,460 Race Course Road 218700,Chinese,218700
Soh Kee Cooked Food,3.6,505 Jurong West Street 52; #01-44 Ong; Jurong West 640505,Chinese,640505
Chi Jia Xiao Cao,3.8,10E Sixth Avenue 276474,Chinese,276474
Jb Garden Seafood Restaurant,3.7,346 Joo Chiat Road 427596,Seafood,427596
Mellvin Seafood Restaurant,3.9,354 Joo Chiat Road; #01-01 427600,Seafood,427600
Aminah Family Food Corner,3.7,20 Marsilling Lane; #01-35 Marsiling Lane Food Centre 730020,Malaysian,730020
Quan Le Yan Seafood,3.9,721 Havelock Road 169645,Asian,169645
Mini Star Fermented Beancurd,3.5,795 Geylang Road 389678,Chinese,389678
Mealbox At Bio,3.7,30 Biopolis Street; #01-01 Matrix Building 138671,Chinese,138671
Jin Hock,3.7,446 Ang Mo Kio Avenue 10; #01-1653 560446,Seafood,560446
Some's,3.6,189 Thomson Road; Goldhill Centre 307631,Chinese,307631
Boneless Hainanese Chicken Rice,3.8,505 Beach Road B1-35 Golden Mile Food Centre 150085,Hainanese,150085
Teo Chuan,3.7,221 Boon Lay Place; #01-144 Food Village 642221,Chinese,642221
The Line Restaurant,4,22 Orange Grove Road; Lower Lobby Tower Wing 258350,Asian,258350
Crab Song Seafood Restaurant,3.9,16 Smith Street 058930,Seafood,058930
Back 2 Ponggol,3.6,102 Upper Aljunied Road; #01-01 Block D,Chinese,D
Lai Huat Sambal Fish Restaurant,3.8,17 Upper East Coast Road; Crescendo Building 455208,Seafood,455208
Paradise Dynasty,3.6,3 Gateway Drive; #02-13/14 Westgate 608532,Chinese,608532
Yunnan View Restaurant,3.5,11 Japanese Garden Road; Fairway Club 619229,Teochew,619229
Tiffany Cafe & Restaurant,3.5,60 Eu Tong Sen Street; #02 Furama City Centre 059804,Chinese,059804
